name,role,org,type,focus,looking_for,offers,tags
Sarah Chen,Managing Director,Sovereign Wealth Fund,Investor,"Institutional allocation to tokenized real-world assets (RWA).","Regulated custodians; compliant DeFi protocols; tokenization partners.","Capital allocation; LP connections; institutional diligence.","rwa,tokenization,institutional,defi,compliance,custody"
Marcus Weber,CEO & Founder,TokenizeNow,Founder,"Tokenizing real estate and private credit on-chain.","Institutional investors; regulatory advisors; distribution partners.","Tokenization rails; issuance platform; asset onboarding.","tokenization,rwa,realestate,privatecredit,compliance"
Elena Rossi,Head of Digital Assets,European Bank,Operator,"Launching digital custody and exploring DeFi yield for bank clients.","Tech partners; regulatory precedent; tokenization platforms.","Bank distribution; regulated client base; custody program.","bank,custody,defi,compliance,tokenization"
Kenji Nakamura,CTO,Layer 2 Protocol,Founder,"ZK-rollup infrastructure with enterprise compliance features.","Enterprise clients; compliant-chain custodians; bank partnerships.","Compliant L2 infra; technical integration; scalability.","zk,layer2,compliance,enterprise,infrastructure,custody"
Aisha Patel,General Partner,Crypto VC Fund,Investor,"Investing in DeFi infra, on-chain identity, decentralized governance.","Deal flow; co-investors; LP introductions.","Growth capital; fundraising guidance; ecosystem intros.","defi,infrastructure,identity,governance,vc"
Thomas Berger,Partner,Regulatory Advisory,Operator,"Advising institutions on EU crypto regulation and licensing.","Clients launching compliant crypto products; infra partnerships.","Regulatory strategy; licensing support; risk frameworks.","regulation,compliance,eu,mica,advisory"
Nadia Kassem,Founder,Custody Startup,Founder,"Building regulated custody stack for institutions and exchanges.","Institutional partners; banks; tech integrations.","Custody APIs; compliance tooling; secure storage.","custody,security,compliance,institutional"
Julien Moreau,Head of Partnerships,Exchange,Operator,"Expanding institutional offerings and custody integrations.","Compliant custody providers; RWA tokenization partners.","Liquidity access; distribution; exchange integrations.","exchange,liquidity,custody,rwa,distribution"
Priya Desai,Principal,Family Office,Investor,"Exploring tokenized private markets and alternative yields.","Curated deal flow; trusted compliant platforms.","Capital; long-term partnerships.","familyoffice,rwa,privatecredit,yield,compliance"
Alex Kim,Founder,On-chain Identity Protocol,Founder,"Decentralized identity for compliant Web3 onboarding.","Integrations with banks, exchanges, custodians.","Identity rails; compliance-friendly onboarding.","identity,kyc,compliance,banking,exchange"
